epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75782,0.63927,3.26118,0.84693,0.00578,0.83369,0.18113,0.15236,0.42842,3.47461,0.78358,0.00031,0.00031,0.00031
2,15.5336,0.4456,2.19956,0.8253,0.00758,0.94182,0.29743,0.27303,0.37897,3.09283,0.78525,0.000619605,0.000619605,0.000619605
3,21.7425,0.41167,1.81565,0.82651,0.80079,0.43785,0.69062,0.64422,0.35726,2.26742,0.81939,0.00091865,0.00091865,0.00091865
4,30.9214,0.3923,1.45474,0.815,0.77828,0.68174,0.79307,0.76551,0.33181,1.50033,0.7984,0.0009505,0.0009505,0.0009505
5,44.0676,0.36283,1.26076,0.81007,0.7647,0.78831,0.81481,0.78152,0.30248,0.95756,0.79996,0.000934,0.000934,0.000934
6,54.8579,0.30936,1.06849,0.80865,0.83905,0.82453,0.91003,0.86626,0.30381,0.75968,0.80333,0.0009175,0.0009175,0.0009175
7,61.04,0.30564,0.96342,0.79672,0.91575,0.86332,0.93091,0.91027,0.24538,0.57863,0.79804,0.000901,0.000901,0.000901
8,67.2502,0.29429,0.91634,0.79459,0.92799,0.81393,0.92713,0.90014,0.25803,0.59678,0.7939,0.0008845,0.0008845,0.0008845
9,73.4239,0.29682,0.87483,0.79751,0.88185,0.85652,0.91775,0.88961,0.26143,0.61179,0.79781,0.000868,0.000868,0.000868
10,79.5815,0.30259,0.79329,0.80025,0.92604,0.89943,0.95678,0.92857,0.26558,0.49782,0.79402,0.0008515,0.0008515,0.0008515
11,85.8102,0.28584,0.76498,0.79889,0.97155,0.86862,0.95954,0.94116,0.21343,0.45124,0.78892,0.000835,0.000835,0.000835
12,91.9715,0.269,0.67823,0.78843,0.94655,0.86458,0.94899,0.93461,0.21791,0.482,0.78821,0.0008185,0.0008185,0.0008185
13,98.2033,0.26184,0.67282,0.7923,0.98452,0.88985,0.96962,0.95554,0.19733,0.3848,0.78546,0.000802,0.000802,0.000802
14,104.32,0.25619,0.64426,0.79307,0.95059,0.91444,0.96822,0.94765,0.20865,0.38517,0.78759,0.0007855,0.0007855,0.0007855
15,110.47,0.25522,0.6229,0.79425,0.95311,0.91964,0.96529,0.95264,0.20074,0.39469,0.78421,0.000769,0.000769,0.000769
16,116.647,0.25344,0.60035,0.79047,0.8893,0.91999,0.95622,0.94275,0.20179,0.44359,0.78637,0.0007525,0.0007525,0.0007525
17,122.823,0.24592,0.5682,0.78767,0.95806,0.92538,0.9718,0.95895,0.18819,0.36905,0.78654,0.000736,0.000736,0.000736
18,129.021,0.2367,0.5255,0.79612,0.90893,0.93798,0.96839,0.95694,0.1863,0.36647,0.78542,0.0007195,0.0007195,0.0007195
19,135.222,0.2294,0.54702,0.78887,0.9411,0.9095,0.96879,0.95599,0.18064,0.3628,0.78398,0.000703,0.000703,0.000703
20,141.404,0.23015,0.52919,0.79513,0.9592,0.89101,0.96592,0.95186,0.19365,0.38162,0.7867,0.0006865,0.0006865,0.0006865
21,147.553,0.22595,0.52189,0.78985,0.96267,0.87716,0.96522,0.94825,0.17724,0.38393,0.78136,0.00067,0.00067,0.00067
22,153.75,0.21717,0.48916,0.78715,0.94778,0.89115,0.95762,0.94786,0.18264,0.38708,0.78632,0.0006535,0.0006535,0.0006535
23,159.921,0.22814,0.48637,0.7883,0.91747,0.91573,0.96207,0.94995,0.17132,0.39717,0.78456,0.000637,0.000637,0.000637
24,166.126,0.22279,0.48665,0.7827,0.95369,0.94501,0.9725,0.962,0.16011,0.32067,0.78314,0.0006205,0.0006205,0.0006205
25,172.295,0.21732,0.45352,0.7858,0.9698,0.90631,0.97201,0.96151,0.17669,0.33593,0.78535,0.000604,0.000604,0.000604
26,178.541,0.21205,0.45888,0.78443,0.92193,0.91726,0.97109,0.95843,0.17298,0.33885,0.78171,0.0005875,0.0005875,0.0005875
27,184.752,0.21355,0.45671,0.78657,0.94618,0.95967,0.97838,0.96669,0.15535,0.28833,0.77833,0.000571,0.000571,0.000571
28,190.988,0.20331,0.431,0.78341,0.95402,0.9318,0.97226,0.96274,0.15592,0.32123,0.77891,0.0005545,0.0005545,0.0005545
29,197.156,0.20622,0.43894,0.7895,0.94427,0.93744,0.9742,0.96447,0.15086,0.27759,0.77927,0.000538,0.000538,0.000538
30,203.386,0.20808,0.43013,0.78598,0.97819,0.93178,0.97791,0.96548,0.15863,0.29019,0.77998,0.0005215,0.0005215,0.0005215
31,209.621,0.20036,0.39763,0.78391,0.96247,0.95147,0.97766,0.96433,0.15331,0.28367,0.77909,0.000505,0.000505,0.000505
32,215.803,0.1976,0.39498,0.7889,0.95304,0.95497,0.97721,0.96836,0.14124,0.27833,0.77594,0.0004885,0.0004885,0.0004885
33,222.056,0.19182,0.39253,0.78667,0.96027,0.95402,0.97888,0.97058,0.13956,0.26471,0.77673,0.000472,0.000472,0.000472
34,228.269,0.19356,0.39182,0.78662,0.96512,0.9457,0.97637,0.96568,0.15532,0.27255,0.77814,0.0004555,0.0004555,0.0004555
35,234.509,0.19878,0.38549,0.78461,0.94528,0.94387,0.97515,0.96454,0.14025,0.28775,0.7784,0.000439,0.000439,0.000439
36,240.87,0.18618,0.37495,0.78254,0.94647,0.95392,0.97604,0.96644,0.13635,0.26414,0.77635,0.0004225,0.0004225,0.0004225
37,247.185,0.19001,0.38541,0.78254,0.97061,0.95115,0.97976,0.97105,0.1462,0.26469,0.77753,0.000406,0.000406,0.000406
