epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1927,0.65986,3.22781,0.85057,0.00644,0.90768,0.18859,0.15544,0.38269,3.44018,0.7737,0.00031,0.00031,0.00031
2,20.6555,0.43398,2.14676,0.82187,0.0063,0.89429,0.30059,0.27082,0.36916,3.07242,0.78501,0.000619605,0.000619605,0.000619605
3,29.5999,0.41571,1.69064,0.82636,0.75605,0.56725,0.73552,0.67993,0.39002,1.92212,0.80368,0.00091865,0.00091865,0.00091865
4,38.787,0.39724,1.43798,0.82105,0.73814,0.67314,0.79216,0.73064,0.36289,1.40868,0.8089,0.0009505,0.0009505,0.0009505
5,47.9241,0.36521,1.22867,0.81503,0.7601,0.77031,0.80813,0.75732,0.34614,1.08317,0.82347,0.000934,0.000934,0.000934
6,57.5196,0.33745,1.07028,0.81898,0.90627,0.82137,0.92871,0.88236,0.30617,0.73608,0.79949,0.0009175,0.0009175,0.0009175
7,66.3664,0.32385,0.97532,0.80721,0.8354,0.79592,0.88851,0.85504,0.28398,0.84719,0.79946,0.000901,0.000901,0.000901
8,75.3502,0.3197,0.91505,0.79875,0.91523,0.85229,0.93571,0.90522,0.27489,0.63505,0.79943,0.0008845,0.0008845,0.0008845
9,84.4171,0.3179,0.87154,0.80508,0.93059,0.89633,0.95269,0.92039,0.27057,0.50808,0.79321,0.000868,0.000868,0.000868
10,93.4019,0.29781,0.78116,0.80408,0.95912,0.87099,0.96698,0.93583,0.2446,0.47379,0.79792,0.0008515,0.0008515,0.0008515
11,103.121,0.28278,0.76862,0.80451,0.93021,0.8933,0.9604,0.93614,0.23153,0.47224,0.79595,0.000835,0.000835,0.000835
12,112.356,0.27309,0.69816,0.79231,0.95719,0.87269,0.95274,0.9288,0.22604,0.46326,0.78729,0.0008185,0.0008185,0.0008185
13,121.267,0.27068,0.67937,0.79371,0.91435,0.90779,0.96033,0.94055,0.23207,0.44215,0.79453,0.000802,0.000802,0.000802
14,130.695,0.27629,0.66967,0.79635,0.91641,0.89721,0.9606,0.94583,0.20128,0.4551,0.78505,0.0007855,0.0007855,0.0007855
15,139.437,0.25847,0.60612,0.79584,0.95508,0.90239,0.9656,0.93949,0.19982,0.41977,0.79001,0.000769,0.000769,0.000769
16,148.638,0.25261,0.60219,0.79233,0.98443,0.89038,0.96856,0.95899,0.18885,0.38089,0.78556,0.0007525,0.0007525,0.0007525
17,158.553,0.2479,0.58983,0.79057,0.96653,0.90102,0.97037,0.95397,0.20222,0.37859,0.78457,0.000736,0.000736,0.000736
18,168.756,0.24096,0.53808,0.79656,0.91893,0.94715,0.97236,0.95838,0.20363,0.36922,0.78834,0.0007195,0.0007195,0.0007195
19,180.412,0.24469,0.55898,0.79276,0.97819,0.90383,0.97424,0.95859,0.18757,0.35885,0.78785,0.000703,0.000703,0.000703
20,189.625,0.24919,0.54443,0.80106,0.98767,0.92049,0.97366,0.9638,0.18488,0.32589,0.7874,0.0006865,0.0006865,0.0006865
21,198.455,0.23003,0.51614,0.79513,0.97143,0.93503,0.97094,0.95542,0.17788,0.34475,0.78257,0.00067,0.00067,0.00067
22,207.648,0.22333,0.4953,0.78643,0.96324,0.88091,0.95681,0.94529,0.19013,0.37679,0.7842,0.0006535,0.0006535,0.0006535
23,218.27,0.23358,0.50479,0.79013,0.95463,0.92012,0.96348,0.95246,0.18648,0.36377,0.787,0.000637,0.000637,0.000637
24,228.228,0.23016,0.49825,0.78786,0.94994,0.94453,0.97482,0.961,0.17278,0.32972,0.78007,0.0006205,0.0006205,0.0006205
25,238.359,0.22199,0.46549,0.79164,0.98247,0.90019,0.97347,0.95828,0.17434,0.33942,0.78037,0.000604,0.000604,0.000604
26,248.721,0.21842,0.46643,0.78308,0.98333,0.89394,0.97461,0.96095,0.16818,0.30893,0.77853,0.0005875,0.0005875,0.0005875
27,258.386,0.2122,0.44691,0.78427,0.97289,0.93863,0.97887,0.96677,0.16378,0.28119,0.78044,0.000571,0.000571,0.000571
28,268.325,0.20428,0.43652,0.78184,0.95497,0.94384,0.97631,0.9674,0.14827,0.3132,0.77983,0.0005545,0.0005545,0.0005545
29,278.669,0.2161,0.44581,0.78981,0.95488,0.94145,0.97512,0.95962,0.16529,0.30241,0.78141,0.000538,0.000538,0.000538
30,289.076,0.21584,0.44151,0.78765,0.9748,0.92635,0.97525,0.96653,0.16145,0.30011,0.77837,0.0005215,0.0005215,0.0005215
31,299.404,0.20537,0.41099,0.78457,0.95453,0.93302,0.97425,0.96391,0.1538,0.31075,0.77897,0.000505,0.000505,0.000505
32,309.103,0.19698,0.39428,0.7902,0.9535,0.95592,0.97876,0.97033,0.15188,0.2765,0.77862,0.0004885,0.0004885,0.0004885
33,318.548,0.20023,0.3944,0.78709,0.99084,0.92811,0.97761,0.97008,0.15052,0.27313,0.77782,0.000472,0.000472,0.000472
34,327.834,0.19361,0.37976,0.7869,0.96628,0.93424,0.97703,0.96433,0.1452,0.28494,0.77622,0.0004555,0.0004555,0.0004555
35,337.636,0.20622,0.39324,0.7866,0.94808,0.94371,0.97498,0.96497,0.16744,0.31214,0.78105,0.000439,0.000439,0.000439
36,347.758,0.19594,0.39327,0.78452,0.9527,0.96172,0.98019,0.97431,0.14469,0.2504,0.77626,0.0004225,0.0004225,0.0004225
37,357.972,0.18761,0.39104,0.78228,0.95782,0.96317,0.98013,0.97392,0.1334,0.24572,0.77417,0.000406,0.000406,0.000406
38,366.837,0.18894,0.35927,0.78011,0.96741,0.9363,0.97944,0.96825,0.14193,0.25882,0.77444,0.0003895,0.0003895,0.0003895
